lib,format,unit,target,dtarget_ps,align_w,run,area_um2,cell_count,yosys_version,date
sky130hd,int8,dp32,unc,,24,0,108307.6256,12168,0.68+206,2026-09-17
sky130hd,int4,dp32,unc,,24,0,33160.5536,3528,0.68+206,2026-09-17
sky130hd,fp8e4m3,dp32,unc,,24,0,105487.4208,14828,0.68+206,2026-09-17
sky130hd,fp8e4m3,dp32,unc,,32,0,122985.4528,17538,0.68+206,2026-09-17
sky130hd,fp8e4m3,dp32,t1,48900,24,0,105487.4208,14828,0.68+206,2026-09-17
sky130hd,fp8e4m3,dp32,t2,34230,24,0,105487.4208,14828,0.68+206,2026-09-17
sky130hd,int8,dp32,unc,,24,0,108307.6256,12168,0.68+206,2026-09-17
sky130hd,int4,dp32,t2,34230,24,0,33160.5536,3528,0.68+206,2026-09-17
sky130hd,int4,dp32,t1,48900,24,0,33160.5536,3528,0.68+206,2026-09-17
sky130hd,int8,dp32,t1,48900,24,0,108307.6256,12168,0.68+206,2026-09-17
sky130hd,int8,dp32,t2,34230,24,0,108307.6256,12168,0.68+206,2026-09-17
sky130hd,int8,dp32,unc,,24,0,108307.6256,12168,0.68+206,2026-09-17
