lib,format,unit,target,align_w,run,period_ns,delay_ps,wns_ps,sta_version,date
sky130hd,int4,dp32,unc,24,0,10.000,12246.0,-2342.0,3.1.0,2026-09-17
sky130hd,int8,dp32,unc,24,0,10.000,12742.0,-2863.0,3.1.0,2026-09-17
sky130hd,fp8e4m3,dp32,unc,24,0,10.000,48889.0,-39008.0,3.1.0,2026-09-17
sky130hd,fp8e4m3,dp32,unc,32,0,10.000,44068.0,-34139.0,3.1.0,2026-09-17
sky130hd,int4,dp32,unc,24,0,10.000,12246.0,-2342.0,3.1.0,2026-09-17
sky130hd,int8,dp32,unc,24,0,10.000,12742.0,-2863.0,3.1.0,2026-09-17
sky130hd,fp8e4m3,dp32,t1,24,0,48.900,48889.0,-108.0,3.1.0,2026-09-17
sky130hd,fp8e4m3,dp32,t2,24,0,34.230,48889.0,-14778.0,3.1.0,2026-09-17
sky130hd,fp8e4m3,dp32,unc,24,0,10.000,48889.0,-39008.0,3.1.0,2026-09-17
sky130hd,fp8e4m3,dp32,unc,32,0,10.000,44068.0,-34139.0,3.1.0,2026-09-17
sky130hd,int4,dp32,t1,24,0,48.900,12246.0,0.0,3.1.0,2026-09-17
sky130hd,int4,dp32,t2,24,0,34.230,12246.0,0.0,3.1.0,2026-09-17
sky130hd,int4,dp32,unc,24,0,10.000,12246.0,-2342.0,3.1.0,2026-09-17
sky130hd,int8,dp32,t1,24,0,48.900,12742.0,0.0,3.1.0,2026-09-17
sky130hd,int8,dp32,t2,24,0,34.230,12742.0,0.0,3.1.0,2026-09-17
sky130hd,int8,dp32,unc,24,0,10.000,12742.0,-2863.0,3.1.0,2026-09-17
