lib,format,unit,target,dtarget_ps,align_w,run,area_um2,cell_count,yosys_version,date
sky130hd,int4,dp32,unc,,24,0,27905.5136,2979,0.68+206,2026-09-17
sky130hd,int8,dp32,unc,,24,0,100177.3280,12359,0.68+206,2026-09-17
sky130hd,fp8e4m3,dp32,unc,,24,0,111259.2064,15681,0.68+206,2026-09-17
sky130hd,mxint8,dp32,unc,,24,0,110692.4128,13817,0.68+206,2026-09-17
sky130hd,mxfp4,dp32,unc,,24,0,35966.9952,4973,0.68+206,2026-09-17
sky130hd,fp8e4m3,dp32,unc,,32,0,131956.5568,19215,0.68+206,2026-09-17
sky130hd,mxint8,dp32,unc,,32,0,110817.5328,13983,0.68+206,2026-09-17
sky130hd,mxfp4,dp32,unc,,32,0,37221.9488,5123,0.68+206,2026-09-17
sky130hd,int4,dp32,t1,35534,24,0,27771.6352,2979,0.68+206,2026-09-17
sky130hd,int8,dp32,t1,35534,24,0,98811.0176,12359,0.68+206,2026-09-17
sky130hd,fp8e4m3,dp32,t1,35534,24,0,111271.7184,15681,0.68+206,2026-09-17
sky130hd,mxint8,dp32,t1,35534,24,0,109630.1440,13817,0.68+206,2026-09-17
sky130hd,mxfp4,dp32,t1,35534,24,0,35293.8496,4973,0.68+206,2026-09-17
sky130hd,fp8e4m3,dp32,t1,35534,32,0,129824.5120,19215,0.68+206,2026-09-17
sky130hd,mxint8,dp32,t1,35534,32,0,109344.8704,13983,0.68+206,2026-09-17
sky130hd,mxfp4,dp32,t1,35534,32,0,36686.4352,5123,0.68+206,2026-09-17
