lib,format,target,align_w,stage,area_um2,date
sky130hd,int4,unc,24,mul,16706.0224,2026-09-17
sky130hd,int4,unc,24,tree,8475.6288,2026-09-17
sky130hd,int4,unc,24,normacc,1056.0128,2026-09-17
sky130hd,int4,unc,24,other,1173.6256,2026-09-17
sky130hd,int8,unc,24,mul,76637.2512,2026-09-17
sky130hd,int8,unc,24,tree,15588.7008,2026-09-17
sky130hd,int8,unc,24,normacc,1069.7760,2026-09-17
sky130hd,int8,unc,24,other,1173.6256,2026-09-17
sky130hd,fp8e4m3,unc,24,decode,4484.3008,2026-09-17
sky130hd,fp8e4m3,unc,24,mul,17991.0048,2026-09-17
sky130hd,fp8e4m3,unc,24,align,59738.5440,2026-09-17
sky130hd,fp8e4m3,unc,24,tree,28900.2176,2026-09-17
sky130hd,fp8e4m3,unc,24,normacc,4041.3760,2026-09-17
sky130hd,fp8e4m3,unc,24,other,1226.1760,2026-09-17
sky130hd,mxint8,unc,24,decode,32.5312,2026-09-17
sky130hd,mxint8,unc,24,mul,76637.2512,2026-09-17
sky130hd,mxint8,unc,24,align,6819.0400,2026-09-17
sky130hd,mxint8,unc,24,tree,17006.3104,2026-09-17
sky130hd,mxint8,unc,24,normacc,3525.8816,2026-09-17
sky130hd,mxint8,unc,24,other,1241.1904,2026-09-17
sky130hd,mxfp4,unc,24,decode,2274.6816,2026-09-17
sky130hd,mxfp4,unc,24,mul,16672.2400,2026-09-17
sky130hd,mxfp4,unc,24,align,5925.6832,2026-09-17
sky130hd,mxfp4,unc,24,tree,9711.8144,2026-09-17
sky130hd,mxfp4,unc,24,normacc,3414.5248,2026-09-17
sky130hd,mxfp4,unc,24,other,1241.1904,2026-09-17
sky130hd,int4_b32,unc,24,decode,32.5312,2026-09-19
sky130hd,int4_b32,unc,24,mul,16383.2128,2026-09-19
sky130hd,int4_b32,unc,24,align,6009.5136,2026-09-19
sky130hd,int4_b32,unc,24,tree,9089.9680,2026-09-19
sky130hd,int4_b32,unc,24,normacc,3525.8816,2026-09-19
sky130hd,int4_b32,unc,24,other,1241.1904,2026-09-19
