lib,format,unit,target,align_w,run,period_ns,delay_ps,wns_ps,sta_version,date
sky130hd,fp8e4m3,dp32,unc,24,0,10.000,35040.0,-25111.0,3.1.0,2026-09-17
sky130hd,fp8e4m3,dp32,unc,32,0,10.000,35384.0,-25470.0,3.1.0,2026-09-17
sky130hd,int4,dp32,unc,24,0,10.000,8907.0,0.0,3.1.0,2026-09-17
sky130hd,int8,dp32,unc,24,0,10.000,10719.0,-838.0,3.1.0,2026-09-17
sky130hd,mxfp4,dp32,unc,24,0,10.000,26451.0,-16579.0,3.1.0,2026-09-17
sky130hd,mxfp4,dp32,unc,32,0,10.000,27853.0,-17970.0,3.1.0,2026-09-17
sky130hd,mxint8,dp32,unc,24,0,10.000,31478.0,-21603.0,3.1.0,2026-09-17
sky130hd,mxint8,dp32,unc,32,0,10.000,30107.0,-20232.0,3.1.0,2026-09-17
sky130hd,fp8e4m3,dp32,t1,24,0,35.500,36011.0,-582.0,3.1.0,2026-09-17
sky130hd,fp8e4m3,dp32,t1,32,0,35.500,36486.0,-1071.0,3.1.0,2026-09-17
sky130hd,fp8e4m3,dp32,t2,24,0,24.850,35040.0,-10261.0,3.1.0,2026-09-17
sky130hd,fp8e4m3,dp32,t2,32,0,24.850,35384.0,-10620.0,3.1.0,2026-09-17
sky130hd,fp8e4m3,dp32,unc,24,0,10.000,35040.0,-25111.0,3.1.0,2026-09-17
sky130hd,fp8e4m3,dp32,unc,32,0,10.000,35384.0,-25470.0,3.1.0,2026-09-17
sky130hd,int4,dp32,t1,24,0,35.500,9722.0,0.0,3.1.0,2026-09-17
sky130hd,int4,dp32,t2,24,0,24.850,9722.0,0.0,3.1.0,2026-09-17
sky130hd,int4,dp32,unc,24,0,10.000,8907.0,0.0,3.1.0,2026-09-17
sky130hd,int8,dp32,t1,24,0,35.500,12197.0,0.0,3.1.0,2026-09-17
sky130hd,int8,dp32,t2,24,0,24.850,12197.0,0.0,3.1.0,2026-09-17
sky130hd,int8,dp32,unc,24,0,10.000,10719.0,-838.0,3.1.0,2026-09-17
sky130hd,mxfp4,dp32,t1,24,0,35.500,31201.0,0.0,3.1.0,2026-09-17
sky130hd,mxfp4,dp32,t1,32,0,35.500,32414.0,0.0,3.1.0,2026-09-17
sky130hd,mxfp4,dp32,t2,24,0,24.850,26451.0,-1729.0,3.1.0,2026-09-17
sky130hd,mxfp4,dp32,t2,32,0,24.850,27853.0,-3120.0,3.1.0,2026-09-17
sky130hd,mxfp4,dp32,unc,24,0,10.000,26451.0,-16579.0,3.1.0,2026-09-17
sky130hd,mxfp4,dp32,unc,32,0,10.000,27853.0,-17970.0,3.1.0,2026-09-17
sky130hd,mxint8,dp32,t1,24,0,35.500,35946.0,-572.0,3.1.0,2026-09-17
sky130hd,mxint8,dp32,t1,32,0,35.500,34860.0,0.0,3.1.0,2026-09-17
sky130hd,mxint8,dp32,t2,24,0,24.850,31478.0,-6753.0,3.1.0,2026-09-17
sky130hd,mxint8,dp32,t2,32,0,24.850,30107.0,-5382.0,3.1.0,2026-09-17
sky130hd,mxint8,dp32,unc,24,0,10.000,31478.0,-21603.0,3.1.0,2026-09-17
sky130hd,mxint8,dp32,unc,32,0,10.000,30107.0,-20232.0,3.1.0,2026-09-17
